booking_id,passenger_id,flight_id,seat_number,ticket_price,booking_date
5087,1288,372,104,9702,2024-01-20
5088,1499,1197,77,2105,2024-05-06
5089,1303,1160,8,11346,2024-03-15
5090,1087,702,26,13620,2024-03-02
5091,1830,1177,140,6087,2024-02-01
5092,1438,534,43,11900,2024-06-26
5093,1541,484,179,13015,2024-06-14
5094,2046,675,110,5925,2024-01-28
5095,1833,254,100,3908,2024-03-14
5096,1797,658,63,4049,2024-03-21
5097,1560,779,49,14656,2024-01-22
5098,1762,620,115,11466,2024-06-19
5099,1467,814,155,11137,2024-06-12
5100,2125,832,137,10172,2024-04-05
5101,1675,903,167,5904,2024-05-01
5102,1685,609,65,12419,2024-05-02
5103,2165,1182,71,5796,2024-02-21
5104,1138,504,7,2292,2024-06-12
5105,1578,1135,80,14871,2024-06-04
5106,1710,759,67,12414,2024-03-18
5107,1228,422,138,8266,2024-06-12
5108,1281,733,101,8370,2024-03-10
5109,1684,358,95,14165,2024-05-16
5110,1828,548,87,12683,2024-01-21
5111,1431,359,91,12667,2024-03-04
5112,2064,1089,103,6860,2024-03-16
5113,1302,1084,126,5729,2024-03-01
5114,2110,1122,155,9962,2024-04-04
5115,1533,435,113,7510,2024-02-09
5116,1769,862,4,10619,2024-01-04
5117,1444,605,88,8761,2024-01-31
5118,2057,457,151,13164,2024-06-03
5119,1260,877,176,8110,2024-06-01
5120,1739,789,170,8955,2024-03-09
5121,1796,797,3,2106,2024-03-10
5122,1070,758,91,13811,2024-01-05
5123,1983,1105,3,6754,2024-04-24
5124,1481,1113,156,13525,2024-03-31
5125,2168,247,81,14184,2024-01-08
5126,1024,413,159,7278,2024-01-09
5127,1965,679,138,8408,2024-01-15
5128,1746,687,177,9635,2024-04-14
5129,1845,771,94,3225,2024-01-07
5130,2199,766,126,14196,2024-03-12
5131,1325,542,113,6250,2024-04-24
5132,1798,724,149,13560,2024-01-15
5133,1018,904,100,2895,2024-06-13
5134,1044,703,53,14097,2024-03-23
5135,1155,206,87,3620,2024-02-08
5136,1867,1021,89,7088,2024-05-13
5137,1922,344,54,14055,2024-02-26
5138,1743,1058,20,12484,2024-04-01
5139,1225,461,113,7419,2024-03-21
5140,1217,785,49,3385,2024-05-26
5141,1031,886,135,14091,2024-05-06
5142,2083,432,29,13784,2024-06-07
5143,1898,470,48,4433,2024-03-15
5144,1935,1140,13,12998,2024-03-19
5145,1445,647,3,13575,2024-01-10
5146,2131,1074,2,3301,2024-04-16
5147,1530,422,16,8858,2024-03-27
5148,1738,252,94,10950,2024-03-07
5149,1874,316,102,10938,2024-03-02
5150,1566,738,134,10784,2024-05-10
5151,1076,765,45,7644,2024-05-25
5152,1547,1077,71,13078,2024-06-01
5153,1267,741,133,14303,2024-04-16
5154,1317,219,56,7088,2024-05-27
5155,2145,1015,127,11260,2024-04-02
5156,1025,592,32,7440,2024-03-26
5157,1160,991,49,9493,2024-06-26
5158,1596,829,13,8291,2024-04-30
5159,2138,818,158,5307,2024-03-19
5160,1900,619,25,10894,2024-01-10
5161,1502,1191,60,6708,2024-05-28
5162,2190,509,59,2104,2024-01-29
5163,2013,939,156,11689,2024-04-05
5164,1703,1064,58,5833,2024-01-10
5165,2199,386,20,2395,2024-01-13
5166,1001,461,162,5517,2024-02-16
5167,1741,728,133,12845,2024-05-30
5168,2110,473,171,5291,2024-02-19
5169,1320,360,57,4010,2024-05-11
5170,1382,1070,54,14073,2024-04-25
5171,1898,962,112,12180,2024-04-22
5172,1717,424,173,6537,2024-03-25
5173,1307,456,86,11860,2024-02-22
5174,2168,380,37,6968,2024-05-09
5175,1391,220,84,6762,2024-03-08
5176,2193,824,48,3051,2024-03-19
5177,1990,832,118,4841,2024-02-26
5178,1298,906,48,8618,2024-04-06
5179,1233,668,112,6723,2024-05-14
5180,1271,823,110,9472,2024-05-26
5181,2084,410,6,9913,2024-06-20
5182,1677,713,162,7524,2024-03-03
5183,1706,258,78,5584,2024-03-05
5184,1234,293,176,10539,2024-02-08
5185,1845,421,23,3263,2024-04-18
5186,1491,923,126,6665,2024-01-26
5187,1503,1140,84,10014,2024-06-20
5188,1890,432,13,12934,2024-01-12
5189,1592,974,47,12265,2024-05-29
5190,1746,564,44,13340,2024-03-17
5191,1428,815,105,3351,2024-05-21
5192,1697,762,160,8980,2024-03-26
5193,1646,574,154,13013,2024-01-30
5194,1732,822,14,9190,2024-06-20
5195,1800,656,121,5827,2024-06-14
5196,1364,288,36,10861,2024-06-18
5197,1202,220,8,4646,2024-02-21
5198,1882,214,168,2266,2024-03-03
5199,1146,333,150,11630,2024-04-29
5200,1836,1137,16,12885,2024-04-14
5201,1639,1008,91,9434,2024-06-10
5202,1135,234,120,3022,2024-02-08
5203,1626,1092,60,9947,2024-02-10
5204,1064,408,10,4037,2024-04-30
5205,1491,1013,153,10756,2024-04-17
5206,1041,399,31,9778,2024-06-13
5207,2027,792,21,3059,2024-03-05
5208,1913,783,81,3424,2024-04-27
5209,1975,355,33,6123,2024-03-19
5210,2134,790,31,2219,2024-06-08
5211,1368,278,149,2405,2024-01-08
5212,1918,372,36,11829,2024-04-06
5213,2028,489,132,4318,2024-01-18
5214,1244,745,68,11951,2024-06-21
5215,1902,1012,90,11866,2024-04-05
5216,1166,988,132,10983,2024-02-02
5217,2050,1079,9,13774,2024-01-05
5218,2041,620,30,7058,2024-05-06
5219,1728,207,115,3309,2024-03-14
5220,2116,360,45,9621,2024-05-05
5221,1483,440,4,14025,2024-06-12
5222,1543,1163,69,6929,2024-05-30
5223,1931,623,23,14604,2024-06-16
5224,1400,1189,16,11522,2024-01-05
5225,1619,736,22,14638,2024-02-03
5226,2170,926,72,10702,2024-01-24
5227,1879,270,48,12764,2024-05-24
5228,1101,1080,107,14121,2024-04-04
5229,1880,416,133,10683,2024-03-11
5230,1830,304,7,3617,2024-04-01
5231,1759,927,51,12248,2024-05-04
5232,1163,254,65,3520,2024-01-22
5233,2197,1006,9,9892,2024-01-15
5234,1502,530,82,3583,2024-04-10
5235,1547,1048,45,8704,2024-01-15
5236,1381,403,122,9988,2024-06-01
5237,1870,488,175,8583,2024-02-22
5238,1905,245,152,3575,2024-05-28
5239,2187,1029,10,14138,2024-04-11
5240,2002,398,73,8935,2024-04-22
5241,1609,416,48,11953,2024-02-01
5242,1307,681,163,12183,2024-01-21
5243,1055,509,87,13371,2024-06-20
5244,1983,1096,111,13518,2024-03-23
5245,1333,635,16,8176,2024-01-14
5246,1127,532,53,11238,2024-01-15
5247,1705,896,40,13084,2024-05-27
5248,1243,227,100,4613,2024-02-03
5249,1600,366,20,5892,2024-06-12
5250,1503,518,69,14336,2024-03-23
5251,1604,474,45,10653,2024-01-09
5252,1303,583,6,8733,2024-06-06
5253,1235,565,177,6431,2024-03-17
5254,2062,303,39,10112,2024-06-11
5255,1139,1160,102,3381,2024-05-20
5256,1195,703,130,11337,2024-06-22
5257,1647,1045,107,5515,2024-01-09
5258,1001,573,39,6454,2024-02-05
5259,1561,816,118,9769,2024-04-26
5260,2120,1126,149,8489,2024-01-03
5261,1713,445,168,10384,2024-01-19
5262,1413,1017,82,5534,2024-06-04
5263,1538,369,54,2755,2024-01-23
5264,1429,828,110,11876,2024-04-13
5265,1235,853,12,4525,2024-05-14
5266,1349,618,165,2827,2024-04-14
5267,1396,556,110,11081,2024-05-21
5268,1416,678,38,6748,2024-02-15
5269,1916,325,143,12647,2024-05-22
5270,2075,737,7,4333,2024-01-15
5271,1081,906,78,6946,2024-02-20
5272,1036,1096,178,10302,2024-04-19
5273,2091,812,65,14907,2024-01-08
5274,1641,602,102,10046,2024-03-09
5275,1882,717,101,10984,2024-06-27
5276,1757,731,44,9181,2024-03-03
5277,1623,882,31,14875,2024-03-08
5278,1468,986,171,12835,2024-05-23
5279,2166,454,77,5414,2024-05-31
5280,1356,321,48,11501,2024-01-06
5281,1709,232,82,8457,2024-04-28
5282,2020,861,127,8749,2024-02-26
5283,1902,978,84,2296,2024-01-31
5284,1673,237,10,11821,2024-01-06
5285,1439,889,29,2568,2024-06-05
5286,1531,542,48,7283,2024-03-07
5287,1127,213,116,9664,2024-05-10
5288,1205,383,13,14897,2024-06-04
5289,1029,857,172,14303,2024-03-14
5290,1445,465,47,9511,2024-04-23
5291,1966,288,103,7465,2024-04-06
5292,1464,1140,91,10263,2024-06-24
5293,1151,662,53,14557,2024-03-20
5294,1240,246,92,6382,2024-05-02
5295,1266,592,77,2065,2024-05-17
5296,2129,319,44,2879,2024-02-02
5297,1913,1133,156,10259,2024-05-19
5298,1497,731,2,11408,2024-02-13
5299,1685,647,101,9222,2024-01-13
5300,1158,932,57,13219,2024-05-31
5301,1172,1142,57,7069,2024-06-20
5302,1494,945,34,5239,2024-02-26
5303,1970,806,58,13672,2024-04-05
5304,1676,1167,157,2507,2024-05-23
5305,1659,963,35,9704,2024-04-18
5306,1903,962,75,13906,2024-04-29
5307,1666,994,176,13076,2024-04-09
5308,1367,944,33,3125,2024-05-28
5309,1550,246,115,2885,2024-04-20
5310,1643,1086,75,4841,2024-02-20
5311,1255,708,73,9975,2024-01-21
5312,1208,758,78,14069,2024-02-29
5313,1450,1171,9,8565,2024-06-27
5314,1095,726,48,8083,2024-01-21
5315,1839,797,67,6870,2024-04-16
5316,1478,1031,164,4525,2024-05-05
5317,1683,1040,119,11117,2024-05-13
5318,1762,203,172,6215,2024-03-13
5319,1190,228,133,3938,2024-03-16
5320,1711,581,119,14006,2024-03-18
5321,1756,357,86,13554,2024-05-13
5322,1836,1055,106,14775,2024-03-05
5323,1133,1114,76,5232,2024-03-26
5324,1055,1131,40,5744,2024-02-03
5325,1510,711,19,8221,2024-02-25
5326,1670,533,47,5465,2024-03-15
5327,1410,1044,65,2440,2024-01-03
5328,1987,887,146,13803,2024-06-18
5329,1734,314,178,2461,2024-01-06
5330,2139,589,30,10803,2024-01-06
5331,1259,687,126,7413,2024-05-27
5332,2146,1043,66,13663,2024-05-28
5333,1299,450,5,7755,2024-01-02
5334,1561,771,93,7012,2024-03-30
5335,1297,915,97,5163,2024-02-25
5336,1362,515,170,8752,2024-04-05
5337,1589,439,94,2005,2024-01-10
5338,1127,434,106,6776,2024-03-27
5339,1197,503,133,9038,2024-03-10
5340,1221,807,178,8414,2024-05-30
5341,1995,1191,85,7739,2024-04-22
5342,1091,853,58,5970,2024-01-30
5343,1411,534,79,13050,2024-05-07
5344,1008,313,8,4606,2024-03-18
5345,1544,821,159,2098,2024-06-13
5346,1468,562,12,2525,2024-02-24
5347,1320,1057,149,8337,2024-02-18
5348,1269,1001,94,3180,2024-02-03
5349,1061,297,91,10067,2024-04-14
5350,1797,1158,33,11881,2024-06-20
5351,2119,1047,154,11330,2024-01-22
5352,1553,216,100,6491,2024-01-31
5353,1926,756,168,7922,2024-05-14
5354,1661,1154,15,5071,2024-04-14
5355,1716,576,114,7641,2024-05-28
5356,1779,942,129,13119,2024-01-16
5357,1194,590,11,9381,2024-01-20
5358,1482,820,55,4792,2024-02-12
5359,1855,417,2,6778,2024-06-20
5360,1498,599,65,2014,2024-02-16
5361,1212,460,172,4415,2024-04-23
5362,1665,1024,16,4685,2024-01-19
5363,1670,520,150,13092,2024-02-17
5364,1221,396,106,11428,2024-05-18
5365,1273,678,146,10159,2024-06-05
5366,2178,618,175,9926,2024-02-14
5367,1279,675,30,6100,2024-06-12
5368,1816,807,10,8374,2024-06-24
5369,1276,768,62,8004,2024-03-27
5370,2005,744,85,7521,2024-01-15
5371,1514,431,134,13412,2024-04-19
5372,2112,1084,67,11799,2024-06-20
5373,1923,721,41,13755,2024-04-05
5374,1642,903,171,9155,2024-06-16
5375,1505,1073,18,5297,2024-04-11
5376,1590,400,58,4633,2024-03-26
5377,1772,1046,60,5890,2024-05-21
5378,1740,873,88,14456,2024-03-21
5379,1675,799,27,13000,2024-02-20
5380,2014,221,68,2791,2024-04-21
5381,1128,511,22,11191,2024-01-15
5382,1503,788,152,2151,2024-03-05
5383,1902,1153,40,5063,2024-03-28
5384,1543,1098,109,8367,2024-03-16
5385,1492,853,74,14791,2024-01-10
5386,2045,838,66,9904,2024-02-11
5387,1714,963,168,4091,2024-04-04
5388,1791,1100,6,6599,2024-01-11
5389,1416,796,112,14274,2024-04-27
5390,1148,634,18,14218,2024-05-23
5391,1970,571,81,9408,2024-05-04
5392,1029,760,102,4977,2024-03-18
5393,1308,1091,110,2842,2024-05-26
5394,1162,278,30,14638,2024-06-07
5395,1869,742,122,5793,2024-03-30
5396,1852,485,149,12262,2024-01-08
5397,1061,848,62,3659,2024-05-31
5398,1125,340,138,10789,2024-05-15
5399,2095,753,120,7162,2024-04-20
5400,1838,1198,107,12705,2024-06-24
5401,1466,482,141,14327,2024-06-06
5402,1243,762,76,8446,2024-02-27
5403,1473,458,9,6270,2024-03-26
5404,1959,1023,39,5603,2024-02-24
5405,1533,560,24,8764,2024-05-01
5406,1494,640,125,3216,2024-04-17
5407,1899,470,118,4291,2024-02-17
5408,1082,334,34,5811,2024-05-11
5409,1856,946,61,6993,2024-06-13
5410,1879,840,169,7142,2024-05-15
5411,1923,304,133,8862,2024-05-08
5412,1012,966,79,11123,2024-02-16
5413,1449,295,50,12330,2024-01-05
5414,1762,1049,132,8533,2024-06-26
5415,2138,929,51,14194,2024-01-24
5416,1026,773,52,9526,2024-06-23
5417,1508,680,122,4978,2024-01-18
5418,1062,980,167,7347,2024-03-24
5419,1229,441,8,14084,2024-06-04
5420,1607,213,113,9933,2024-01-05
5421,2059,347,45,6595,2024-01-30
5422,1891,1140,88,13110,2024-01-01
5423,1761,952,28,12756,2024-03-26
5424,1595,801,119,8211,2024-03-22
5425,2049,295,107,11955,2024-06-22
5426,2056,1027,27,4170,2024-03-09
5427,2036,493,162,10527,2024-01-31
5428,1001,225,81,11368,2024-03-31
5429,2160,472,101,5021,2024-04-02
5430,1133,705,62,10970,2024-05-06
5431,1086,366,62,9836,2024-06-04
5432,1516,1139,166,3185,2024-01-16
5433,1175,962,26,5285,2024-02-23
5434,1763,287,121,5447,2024-05-19
5435,2045,854,24,5991,2024-01-20
5436,1997,846,39,12662,2024-03-22
5437,2129,1185,124,11130,2024-06-10
5438,1578,991,21,6899,2024-05-30
5439,1049,838,94,14198,2024-04-18
5440,1528,1028,175,3935,2024-06-03
5441,1145,691,115,10825,2024-04-22
5442,1762,1108,176,11445,2024-01-17
5443,2099,341,121,11274,2024-06-24
5444,1929,1068,13,12335,2024-05-28
5445,1794,303,131,3285,2024-06-26
5446,1319,426,160,10545,2024-06-16
5447,2111,1102,163,9479,2024-05-05
5448,1698,775,19,7255,2024-01-03
5449,1847,494,142,3885,2024-01-17
5450,1783,1096,176,12010,2024-02-19
5451,1042,506,81,7062,2024-05-01
5452,2117,454,123,9066,2024-03-30
5453,1529,380,68,12712,2024-03-27
5454,1292,240,173,14200,2024-01-06
5455,1969,976,19,5022,2024-06-04
5456,1097,901,64,12776,2024-02-24
5457,2119,720,101,7265,2024-06-21
5458,1074,816,66,3547,2024-05-26
5459,2092,937,66,14210,2024-04-11
5460,1758,746,75,6204,2024-01-29
5461,2101,436,45,9590,2024-05-30
5462,1208,663,87,3368,2024-04-20
5463,1410,428,67,13529,2024-06-08
5464,1331,900,3,3757,2024-01-10
5465,1344,1025,166,11709,2024-03-31
5466,1989,683,170,6917,2024-06-25
5467,1771,630,168,5484,2024-01-29
5468,1074,222,178,13877,2024-02-14
5469,1254,543,163,5052,2024-02-20
5470,1959,240,24,12888,2024-04-10
5471,1820,373,88,10382,2024-05-07
5472,1986,639,17,2932,2024-01-11
5473,1332,379,40,6237,2024-03-22
5474,1747,798,172,9240,2024-05-07
5475,1836,333,151,5238,2024-01-06
5476,1455,551,6,12407,2024-03-07
5477,2139,725,149,2565,2024-03-02
5478,1313,740,119,7378,2024-05-12
5479,2018,706,120,7558,2024-05-16
5480,1228,284,35,11326,2024-01-28
5481,1834,1193,113,2743,2024-02-07
5482,1858,664,29,10864,2024-02-12
5483,1818,1030,7,13103,2024-04-26
5484,2018,1061,53,10722,2024-05-28
5485,1528,543,165,7409,2024-02-15
5486,1950,480,23,13213,2024-06-14
5487,1427,1066,97,10753,2024-02-18
5488,1042,463,136,7629,2024-02-08
5489,1465,366,76,8318,2024-03-11
5490,1278,493,176,2301,2024-05-06
5491,1836,709,10,5767,2024-06-06
5492,1019,780,117,6280,2024-05-28
5493,1066,426,24,9506,2024-01-01
5494,1167,370,175,10701,2024-06-08
5495,2020,798,39,8962,2024-05-15
5496,1403,845,66,7429,2024-03-09
5497,1409,648,6,9248,2024-01-30
5498,1112,890,21,5445,2024-04-24
5499,1597,1055,73,4203,2024-01-08
5500,1651,702,74,4834,2024-04-22
5501,2063,964,36,10986,2024-01-19
5502,1105,727,131,4479,2024-02-28
5503,1324,935,170,11715,2024-06-06
5504,1992,579,173,6856,2024-03-19
5505,1429,401,44,12386,2024-02-05
5506,1635,819,91,12720,2024-02-24
5507,1730,450,161,2434,2024-02-13
5508,1889,1149,60,12230,2024-06-03
5509,2085,609,93,3706,2024-03-17
5510,1393,801,83,10260,2024-03-18
5511,1204,325,83,7725,2024-04-10
5512,1258,313,77,3904,2024-06-24
5513,1486,1181,26,9018,2024-01-30
5514,1446,337,21,5959,2024-02-08
5515,2024,959,120,13143,2024-01-13
5516,1342,696,130,8825,2024-05-01
5517,1133,878,175,8347,2024-05-23
5518,1443,350,108,14841,2024-06-20
5519,1253,1075,158,8156,2024-04-21
5520,1265,543,27,4713,2024-06-03
5521,1093,1145,71,13561,2024-02-14
5522,1138,780,148,8194,2024-04-28
5523,2002,933,50,14787,2024-02-04
5524,1307,983,95,8512,2024-06-04
5525,1266,521,23,8867,2024-01-07
5526,1646,1022,141,5727,2024-04-19
5527,1318,1126,81,12596,2024-04-23
5528,2137,1061,132,13517,2024-02-20
5529,1901,732,142,5546,2024-02-15
5530,1454,489,20,4303,2024-01-20
5531,1191,689,124,5681,2024-04-05
5532,1831,692,13,9852,2024-02-07
5533,2113,812,3,5221,2024-04-13
5534,1187,452,175,6374,2024-02-01
5535,1819,1182,131,3082,2024-06-02
5536,2021,277,129,10637,2024-02-27
5537,1132,847,90,3592,2024-06-15
5538,1872,592,152,7608,2024-05-27
5539,1635,612,35,7526,2024-03-22
5540,1691,373,14,7179,2024-02-19
5541,1692,1075,141,8472,2024-02-21
5542,2123,401,175,4775,2024-03-26
5543,2058,417,50,14008,2024-04-24
5544,1582,576,78,13245,2024-05-29
5545,1171,920,154,3590,2024-02-22
5546,1784,786,3,8004,2024-03-06
5547,2083,211,179,9230,2024-04-26
5548,1181,999,40,4231,2024-02-12
5549,1019,968,164,7118,2024-03-22
5550,2119,212,51,8454,2024-05-30
5551,1881,1092,1,9960,2024-03-04
5552,1175,1191,104,3561,2024-05-16
5553,1054,790,161,14464,2024-04-22
5554,1695,635,135,5646,2024-05-14
5555,1863,884,117,9596,2024-06-17
5556,1349,808,116,9240,2024-02-23
5557,1443,1018,52,6942,2024-03-05
5558,1833,573,120,5238,2024-01-02
5559,1580,473,139,3600,2024-05-11
5560,1282,1131,155,7700,2024-03-18
5561,1360,1097,142,8071,2024-02-01
5562,1915,1125,86,12248,2024-04-09
5563,1823,891,46,14523,2024-05-09
5564,1892,776,76,2709,2024-04-13
5565,1953,709,10,4971,2024-05-21
5566,1641,332,152,12924,2024-05-27
5567,2032,1055,61,2793,2024-03-29
5568,1563,1124,18,5099,2024-02-18
5569,1491,984,86,13047,2024-05-15
5570,1341,519,137,8030,2024-06-22
5571,1472,1044,145,7765,2024-05-28
5572,1249,1149,128,2026,2024-03-27
5573,1235,1053,104,8693,2024-06-08
5574,2107,821,141,13459,2024-01-08
5575,2117,985,178,7322,2024-04-10
5576,1824,368,101,10276,2024-01-16
5577,1632,597,6,7951,2024-02-09
5578,1529,380,85,5101,2024-04-15
5579,1122,258,51,8609,2024-01-27
5580,1892,680,36,11314,2024-04-13
5581,1010,1133,71,7309,2024-04-14
5582,1838,791,100,2011,2024-05-25
5583,1753,660,25,9770,2024-02-04
5584,1886,261,139,11940,2024-04-22
5585,1464,569,44,13301,2024-02-21
5586,1712,321,14,12068,2024-05-22
5587,1728,919,29,12811,2024-02-22
5588,1717,746,74,7413,2024-03-31
5589,1080,782,50,7774,2024-03-21
5590,1480,217,5,2179,2024-04-13
5591,1902,696,110,2796,2024-03-06
5592,1891,697,122,9279,2024-04-22
5593,1018,705,88,14005,2024-01-31
5594,2189,732,57,9188,2024-03-01
5595,1202,1169,26,9312,2024-04-10
5596,1741,515,6,4024,2024-04-14
5597,1319,269,144,9666,2024-04-07
5598,1217,927,60,5217,2024-02-03
5599,2058,361,100,8584,2024-02-28
5600,1266,814,12,11078,2024-01-03
5601,1724,1088,75,12660,2024-01-17
5602,1775,918,3,13579,2024-03-18
5603,2104,345,63,7285,2024-02-15
5604,1413,769,134,9370,2024-06-14
5605,2036,795,19,3519,2024-02-04
5606,1401,1193,18,8611,2024-05-08
5607,1724,585,80,8856,2024-04-21
5608,1282,469,171,4432,2024-06-05
5609,2136,1123,73,8457,2024-05-11
5610,1723,654,131,6866,2024-03-01
5611,1751,899,126,7054,2024-04-06
5612,1268,718,72,11108,2024-05-24
5613,1298,1065,38,4070,2024-06-04
5614,1570,550,68,14168,2024-06-26
5615,1509,310,172,3781,2024-03-30
5616,1546,683,80,10530,2024-05-15
5617,1775,607,42,3516,2024-06-10
5618,1365,850,64,13062,2024-02-28
5619,1547,251,78,13774,2024-01-18
5620,1271,603,127,7491,2024-04-04
5621,1739,763,105,11106,2024-06-03
5622,1537,676,76,7949,2024-01-16
5623,1059,287,165,5290,2024-01-10
5624,1086,268,132,6570,2024-04-13
5625,1763,796,130,11638,2024-03-16
5626,1390,1179,122,3379,2024-05-29
5627,1719,242,44,11675,2024-01-16
5628,1856,931,102,9670,2024-01-12
5629,1149,257,62,12266,2024-03-15
5630,1583,938,1,2800,2024-06-27
5631,1121,396,17,11438,2024-05-08
5632,1765,960,16,12929,2024-01-27
5633,1605,878,9,7267,2024-01-12
5634,1256,262,59,5495,2024-01-30
5635,1766,463,119,5257,2024-01-09
5636,1864,312,137,8558,2024-02-22
5637,1800,965,140,14069,2024-02-23
5638,1059,911,119,2981,2024-06-13
5639,2022,378,41,12668,2024-06-18
5640,2093,1148,143,4088,2024-02-18
5641,1388,226,66,4952,2024-01-04
5642,2110,610,75,11203,2024-03-19
5643,1786,958,11,13656,2024-06-27
5644,1593,731,8,12942,2024-03-31
5645,1909,977,134,4126,2024-03-19
5646,1566,517,148,6812,2024-06-07
5647,1399,732,167,10063,2024-04-12
5648,1899,306,99,5861,2024-04-20
5649,1293,949,72,7903,2024-02-27
5650,1485,1018,113,4591,2024-03-22
5651,1803,664,107,11665,2024-05-11
5652,1890,446,34,12713,2024-01-22
5653,1244,281,57,11357,2024-05-10
5654,1960,862,117,5322,2024-03-19
5655,2178,1109,120,8437,2024-04-08
5656,1816,596,147,10801,2024-06-23
5657,1273,722,71,12375,2024-02-07
5658,1520,1033,159,12723,2024-06-09
5659,2152,936,40,4861,2024-06-24
5660,1568,1126,142,14842,2024-04-26
5661,1638,464,103,3655,2024-01-26
5662,1159,861,124,3755,2024-05-15
5663,1652,990,123,10237,2024-02-19
5664,1176,474,100,11451,2024-02-07
5665,1620,906,165,8227,2024-05-17
5666,1211,1144,172,6638,2024-02-11
5667,1447,372,137,13424,2024-02-06
5668,1586,465,58,11643,2024-06-02
5669,1167,1163,148,12310,2024-05-19
5670,1460,1022,109,4567,2024-02-18
5671,1916,226,121,12184,2024-05-21
5672,2053,669,92,5123,2024-02-15
5673,1714,1062,50,7164,2024-06-11
5674,2117,676,148,12532,2024-01-29
5675,1841,556,105,9081,2024-01-12
5676,1868,226,164,6907,2024-04-25
5677,1688,234,117,11680,2024-03-22
5678,1330,464,27,11765,2024-02-13
5679,1095,338,32,6962,2024-01-02
5680,1785,1016,1,12619,2024-01-17
5681,1649,895,17,9150,2024-05-17
5682,1353,1075,137,3766,2024-01-18
5683,1930,954,84,5549,2024-01-22
5684,1941,766,45,4309,2024-03-23
5685,1984,662,66,14867,2024-02-27
5686,2043,368,32,12596,2024-02-22
5687,1646,831,45,11634,2024-01-01
5688,1626,855,9,14985,2024-03-01
5689,1139,281,30,3976,2024-06-07
